"code_id","orderid","itemid","nama_pengguna","produk","review","rating","waktu_transaksi"
"16085053996_1725924784_337707190",179147183227979,16085053996,rendyf34,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-10 06:33:00"
"16085053996_1725925281_607658388",179367534247056,16085053996,salsabilaalda273,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-10 06:41:00"
"16085053996_1725932980_711274734",171688983214860,16085053996,yusmulyanto1997,Baut probolt 2kunci Hexagon untuk box filter 5x20 panjang 2cm Honda Yamaha stainless original HENG thailand,"",5,"2024-09-10 08:49:00"
"16210644138_1725451042_1160546960",178628325263313,16210644138,bsrfucek,Mur 14 titanium bolt gr5 mur m10 titanium biasa gunakan untuk as roda depan yamaha,"",5,"2024-09-04 18:57:00"
"16410636253_1725485956_1125024840",178702405288291,16410636253,pratamarian06,Baut titanium gr5 ukuran 8x25 drat 12 untuk breket kaliper depan honda original vietnam,"",5,"2024-09-05 04:39:00"
"16712947256_1725488483_240642008",179117253267562,16712947256,rafifathurrachman29,Per paha rem per nylon stainless chrome Heng Thailand universal mio beat scoopy vario dll,"",5,"2024-09-05 05:21:00"
"17098659776_1725697796_844650502",179026655247447,17098659776,ivj_lclq7b,Baut Probolt 10x50 Drat 14 baut kaliper Model 2Kunci Hexagon Stainless Chrome 100% Original Heng Thailand,"",5,"2024-09-07 15:29:00"
"17098659776_1725800319_1208123613",179142326270223,17098659776,chelsearatu822,Baut Probolt 10x50 Drat 14 baut kaliper Model 2Kunci Hexagon Stainless Chrome 100% Original Heng Thailand,"",5,"2024-09-08 19:58:00"
"17198441703_1725513398_628614453",178804961254894,17198441703,firmandanuuu,As Roda Depan Probolt Mio Nouvo Fino Stainless model tutup bintang Original Heng Thailand,"",4,"2024-09-05 12:16:00"
"17198441703_1725554924_86074228",178730939244067,17198441703,bandimunte,As Roda Depan Probolt Mio Nouvo Fino Stainless model tutup bintang Original Heng Thailand,"",4,"2024-09-05 23:48:00"
"17198441703_1725598332_950711205",178458050222623,17198441703,"9ridjo_41z",As Roda Depan Probolt Mio Nouvo Fino Stainless model tutup bintang Original Heng Thailand,"",4,"2024-09-06 11:52:00"
